Respondent,LanguageWorkedWith
0,C#;HTML/CSS;JavaScript
1,JavaScript;Swift
2,Objective-C;Python;Swift
4,HTML/CSS;Ruby;SQL
5,HTML/CSS;Java;JavaScript
6,C#;HTML/CSS;PHP
7,Python;SQL
8,HTML/CSS;JavaScript;PHP
9,HTML/CSS;Java;JavaScript;Python;SQL
10,C#;JavaScript;Swift
11,HTML/CSS;JavaScript
12,C;JavaScript;Python
13,HTML/CSS;JavaScript;SQL;TypeScript
14,Bash/Shell/PowerShell;C;HTML/CSS;Java;Python;SQL
15,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;Kotlin;R
16,C#;HTML/CSS;JavaScript;Python;SQL;VBA
17,Bash/Shell/PowerShell;HTML/CSS;Perl
18,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;SQL;TypeScript
19,Java;JavaScript;SQL
20,Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;Objective-C;Scala;SQL;Swift;TypeScript
21,Java;Python
22,Bash/Shell/PowerShell;C#;C++
23,Bash/Shell/PowerShell;Java;Kotlin;PHP;SQL
24,Bash/Shell/PowerShell;C
25,JavaScript;Python
26,Bash/Shell/PowerShell;C;C++;Java;Python;SQL
27,Python;R
28,C#;C++;HTML/CSS;Python
29,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;Python;SQL;TypeScript
30,C;C++
31,C;C++;Java;Python;SQL;VBA
32,HTML/CSS;JavaScript;TypeScript
33,HTML/CSS;Java;JavaScript;SQL;TypeScript
34,HTML/CSS;Java;JavaScript;Ruby
35,C#;Go;HTML/CSS;Java;JavaScript;Python;R;SQL
36,Bash/Shell/PowerShell;Haskell;HTML/CSS;JavaScript;SQL;TypeScript
37,HTML/CSS;JavaScript;Python;Ruby;Rust
38,C#;Python
39,C;C#;C++;HTML/CSS;JavaScript;PHP;Python;SQL
40,C;C#;Java;SQL
41,Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;Python
42,Dart;HTML/CSS;Java;JavaScript;SQL
43,HTML/CSS;Python;R;SQL;VBA
44,Bash/Shell/PowerShell;C;C++;Java;JavaScript;Python;Scala;TypeScript
45,Bash/Shell/PowerShell;C#;C++
46,Bash/Shell/PowerShell;C#;Java;JavaScript;Python;Ruby;SQL
47,JavaScript;Ruby;SQL
48,C#;HTML/CSS;JavaScript;TypeScript
49,HTML/CSS;JavaScript;PHP;SQL
50,JavaScript;Python;SQL;TypeScript
51,Java;Kotlin
52,Dart;HTML/CSS;Python
53,C#;HTML/CSS;JavaScript
54,Python
55,HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript
56,C#;VBA
57,C#;JavaScript;SQL;TypeScript
58,C#;HTML/CSS;JavaScript;PHP;Ruby
59,C#;HTML/CSS;Java;JavaScript;Python;SQL
60,HTML/CSS;JavaScript;PHP;SQL
61,C#;C++;HTML/CSS;Java;Python;Ruby;SQL;Swift
62,C;C++;HTML/CSS;Java;JavaScript;Python
63,HTML/CSS;JavaScript;Perl;SQL
64,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;SQL
65,Bash/Shell/PowerShell;C;C#;C++;HTML/CSS;Java;JavaScript;Julia;Python;R;SQL
66,HTML/CSS;JavaScript;Ruby
67,Assembly;Bash/Shell/PowerShell;C;C#;HTML/CSS;Java;JavaScript;PHP;Python
68,HTML/CSS;Python
69,HTML/CSS;JavaScript;PHP;SQL
70,C#;HTML/CSS;Java;JavaScript;PHP;Ruby;TypeScript
71,Bash/Shell/PowerShell;JavaScript;Python;Swift
72,Bash/Shell/PowerShell;HTML/CSS;JavaScript;SQL;TypeScript
73,Assembly;Bash/Shell/PowerShell;C;C#;C++;Go;HTML/CSS;JavaScript;SQL;TypeScript
74,Bash/Shell/PowerShell;HTML/CSS;JavaScript;Python
75,Assembly;Bash/Shell/PowerShell;C;C++;Python
76,C++;HTML/CSS;Java;Python;R
77,HTML/CSS;JavaScript;PHP;SQL
78,HTML/CSS;JavaScript;PHP;SQL
79,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;PHP;Ruby;SQL;TypeScript
80,Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript
81,C#;HTML/CSS;JavaScript;SQL
82,C;C++;HTML/CSS;Python
83,Bash/Shell/PowerShell;C;C#;C++;HTML/CSS;Java;Python
84,Bash/Shell/PowerShell;C#;Go;HTML/CSS;Java;JavaScript;PHP;Python;SQL;Swift
85,Go;HTML/CSS;JavaScript;Python
86,C#;C++;JavaScript;Python
87,Bash/Shell/PowerShell;C++;Kotlin;Python
88,C#;HTML/CSS;JavaScript;SQL;TypeScript
89,HTML/CSS;JavaScript;Ruby;TypeScript
90,Bash/Shell/PowerShell;C;Java;JavaScript;PHP;SQL
91,Assembly;Bash/Shell/PowerShell;C;C++;HTML/CSS;Java;JavaScript;Objective-C;Perl;PHP;SQL
92,Bash/Shell/PowerShell;C;Python;Ruby;SQL
93,HTML/CSS;JavaScript;PHP;Python;SQL
94,Bash/Shell/PowerShell;HTML/CSS;JavaScript
95,Bash/Shell/PowerShell;Go;Java;JavaScript;Rust;TypeScript
96,C++;Python
97,Go;JavaScript;Python;SQL;TypeScript
98,C#;HTML/CSS;JavaScript;SQL
99,HTML/CSS;JavaScript;PHP;SQL
100,Objective-C;Swift
101,HTML/CSS;Java;JavaScript;Python;SQL
102,C#;HTML/CSS;JavaScript;PHP;SQL
103,C#;HTML/CSS;JavaScript;SQL;TypeScript
104,C#;HTML/CSS;Java;JavaScript;SQL
105,Bash/Shell/PowerShell;HTML/CSS;JavaScript;Rust;TypeScript
106,C#;SQL
107,HTML/CSS;Java;JavaScript;Python;SQL;TypeScript
108,Bash/Shell/PowerShell;C;C++;Go;HTML/CSS;Java;JavaScript;Python;Ruby;SQL;TypeScript
109,HTML/CSS;Java;JavaScript;Python;TypeScript
110,Python;SQL
111,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;PHP;Python
112,Go;HTML/CSS;JavaScript;PHP;SQL
113,Assembly;C;C++;Java;Python;SQL
114,HTML/CSS;Java;JavaScript;SQL
115,Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript
116,Bash/Shell/PowerShell;C;C++;HTML/CSS;JavaScript;Python;Ruby;Scala;SQL
117,Bash/Shell/PowerShell;C#;Go;HTML/CSS;Java;JavaScript;Kotlin;Objective-C;Python;SQL;TypeScript
118,Go;PHP;Python
119,Bash/Shell/PowerShell;JavaScript;Python;SQL
120,Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;Kotlin;Python;SQL;Swift;TypeScript
121,Bash/Shell/PowerShell;C++;Go;Java;Python
122,Swift
123,Python;SQL
124,JavaScript;PHP
125,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;VBA
126,C#;HTML/CSS;JavaScript;SQL
127,Bash/Shell/PowerShell;C;HTML/CSS;JavaScript;Python;SQL;TypeScript
128,C#;HTML/CSS;JavaScript;PHP;Python;SQL;VBA
129,Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;Rust;SQL;TypeScript
130,Dart;HTML/CSS;JavaScript;TypeScript
131,Bash/Shell/PowerShell;C#;Dart;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript;VBA
132,Bash/Shell/PowerShell;HTML/CSS;JavaScript;TypeScript
133,Bash/Shell/PowerShell;HTML/CSS;Python;SQL
134,C;C#;C++
136,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;PHP;SQL;TypeScript
137,HTML/CSS;JavaScript;PHP;SQL;TypeScript
139,Java
140,C#;HTML/CSS;JavaScript;SQL
141,Bash/Shell/PowerShell;Java;JavaScript;Python;Scala;SQL
142,HTML/CSS;Java;JavaScript;Objective-C;PHP;SQL;Swift
143,Bash/Shell/PowerShell;Python
144,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;SQL;TypeScript
145,HTML/CSS;JavaScript;Python;TypeScript
146,Python;Ruby;SQL
147,Bash/Shell/PowerShell;C++;Perl
